2026-03-18 01:59:46 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:46 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:46 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:47 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:48 | INFO | Sent command='FWD' bytes=4 port=\\.\COM4
2026-03-18 01:59:48 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:48 | INFO | Sent command='FWD' bytes=4 port=\\.\COM4
2026-03-18 01:59:48 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:49 | INFO | Sent command='FWD' bytes=4 port=\\.\COM4
2026-03-18 01:59:49 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:49 | INFO | Sent command='FWD' bytes=4 port=\\.\COM4
2026-03-18 01:59:50 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:50 | INFO | Sent command='FWD' bytes=4 port=\\.\COM4
2026-03-18 01:59:51 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:51 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:51 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:52 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:53 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:53 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:53 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:54 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:54 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:54 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:54 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:54 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
